distribution,method_1,method_2,Mean Apple,Mean CLiP-tuned,W_statistic,Z_statistic,p_value,r_effect_size,reject_H0 (p<0.05)
d1,Apple,CLiP-tuned,1.14075,4.93275,0.0,-5.511118590899058,3.565603732512115e-08,0.8713843601269364,True
d2,Apple,CLiP-tuned,0.9035,4.83375,0.0,-5.510994126009968,3.568126323893353e-08,0.8713646805000241,True
d3,Apple,CLiP-tuned,17.390500000000003,5.806,79.0,4.340004352525649,1.4247989388878457e-05,0.6862149404512695,True
d4,Apple,CLiP-tuned,8.988249999999999,5.4262500000000005,235.0,1.9650583541306212,0.04940748399049308,0.31070300670972534,True
