User,Epsilon,PE_max
S1,14.90,2.34
S2,15.70,0.79
S3,13.90,2.12
S4,13.60,0.69
S5,11.20,2.95
S6,13.60,1.47
S7,11.80,0.74
S8,15.00,1.61
S9,10.80,1.21
S10,16.00,1.14
S11,15.70,2.95
S12,11.00,1.56
S13,8.30,1.19
S14,11.60,2.80
S15,13.20,1.74
S16,12.70,2.17
S17,12.30,2.25
S18,11.90,1.71
S19,16.00,2.18
S20,12.40,1.75
